species,lat,lon,country,eventDate,basisOfRecord,presence,10m_bio_1,10m_bio_2,10m_bio_3,10m_bio_4,10m_bio_5,10m_bio_6,10m_bio_7,10m_bio_8,10m_bio_9,10m_bio_10,10m_bio_11,10m_bio_12,10m_bio_13,10m_bio_14,10m_bio_15,10m_bio_16,10m_bio_17,10m_bio_18,10m_bio_19,10m_elev
Apis mellifera,-1.289363,36.890777,Kenya,2025-05-25T15:18,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.289336,36.890781,Kenya,2025-05-25T15:20,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.27045,36.808553,Kenya,2025-05-30T07:22:59,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-1.289311,36.890092,Kenya,2025-05-24T13:01,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.121003,36.676544,Kenya,2025-05-27T08:00,HUMAN_OBSERVATION,1,318.0,11.765978813171387,72.74063873291016,130.51806640625,25.587749481201172,9.412500381469727,16.175249099731445,17.60416603088379,14.966041564941406,18.025833129882812,14.76420783996582,1304.0,318.0,35.0,80.90485382080078,658.0,115.0,481.0,132.0,1997.0
Apis mellifera,-1.289276,36.890027,Kenya,2025-05-24T13:02,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.303468,36.968309,Kenya,2025-05-26T15:00,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.286213,36.817975,Kenya,2025-05-23T09:23,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-1.23291,36.807558,Kenya,2025-06-11T11:53:39,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-1.223493,36.89667,Kenya,2025-06-16T13:58,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.224258,36.897395,Kenya,2025-06-16T18:10,HUMAN_OBSERVATION,1,164.0,12.004520416259766,74.29115295410156,116.23384094238281,28.674999237060547,12.516249656677246,16.158748626708984,20.844541549682617,18.455917358398438,21.224332809448242,18.258459091186523,776.0,164.0,14.0,75.35821533203125,364.0,46.0,286.0,57.0,1584.0
Apis mellifera,-1.241249,36.799534,Kenya,2025-06-14T10:23,HUMAN_OBSERVATION,1,236.0,11.607208251953125,72.53372192382812,128.51402282714844,27.333999633789062,11.331500053405762,16.002498626708984,19.492958068847656,16.945125579833984,19.960832595825195,16.728166580200195,1008.0,236.0,23.0,78.98697662353516,504.0,75.0,376.0,86.0,1824.0
Apis mellifera,-0.00288,37.078623,Kenya,2025-06-17T10:01:58,HUMAN_OBSERVATION,1,158.0,13.435895919799805,78.87345886230469,58.39256286621094,24.226499557495117,7.1917500495910645,17.03474998474121,16.169750213623047,14.860249519348145,16.169750213623047,14.860249519348145,916.0,158.0,36.0,55.88114929199219,355.0,133.0,355.0,133.0,2090.0
Apis mellifera,-0.411734,36.671582,Kenya,2025-06-11T12:18,HUMAN_OBSERVATION,1,218.0,11.228208541870117,79.2966537475586,80.41166687011719,19.067750930786133,4.9079999923706055,14.159750938415527,12.478958129882812,11.677291870117188,12.491708755493164,10.533791542053223,1402.0,218.0,45.0,45.34027862548828,530.0,204.0,407.0,264.0,2778.0
Apis mellifera,-1.33732,36.773248,Kenya,2025-06-13T15:45:36,HUMAN_OBSERVATION,1,191.0,11.984271049499512,72.64295196533203,127.05976867675781,28.277999877929688,11.780500411987305,16.497499465942383,20.282583236694336,17.86954116821289,20.80608367919922,17.616374969482422,858.0,191.0,18.0,76.34839630126953,418.0,58.0,313.0,69.0,1775.0
Apis mellifera,-0.816503,36.387903,Kenya,2025-06-20T11:15,HUMAN_OBSERVATION,1,131.0,13.560521125793457,78.31547546386719,98.50428771972656,26.110000610351562,8.794750213623047,17.315250396728516,17.428916931152344,15.273333549499512,17.684541702270508,15.22137451171875,697.0,131.0,33.0,50.747310638427734,288.0,114.0,229.0,115.0,1967.0
Apis mellifera,-1.275083,34.964692,Kenya,2025-06-27T13:55:11,HUMAN_OBSERVATION,1,213.0,11.58133316040039,81.34529876708984,74.84357452392578,25.8174991607666,11.580249786376953,14.237249374389648,19.043750762939453,17.509666442871094,19.370708465576172,17.509666442871094,1347.0,213.0,47.0,38.319602966308594,495.0,209.0,333.0,209.0,1800.0
