species,lat,lon,country,eventDate,basisOfRecord,presence
Apis mellifera,-1.26711,36.820957,Kenya,2024-04-17T06:39,HUMAN_OBSERVATION,1
Apis mellifera,0.030616,37.105018,Kenya,2024-04-24T08:43,HUMAN_OBSERVATION,1
Apis mellifera,-1.333261,36.75065,Kenya,2024-05-29T14:37:11,HUMAN_OBSERVATION,1
Apis mellifera,-0.540516,37.078438,Kenya,2024-05-15T22:07:49,HUMAN_OBSERVATION,1
Apis mellifera,-2.386347,37.336642,Kenya,2024-05-13T08:27,HUMAN_OBSERVATION,1
Apis mellifera,-1.283081,36.821653,Kenya,2024-06-11T16:08:15,HUMAN_OBSERVATION,1
Apis mellifera,-2.951763,39.79117,Kenya,2024-06-20T12:16:39,HUMAN_OBSERVATION,1
Apis mellifera,-1.275272,36.813797,Kenya,2024-06-15T10:27:34,HUMAN_OBSERVATION,1
Apis mellifera,0.293858,36.90038,Kenya,2024-06-21T14:58:53,HUMAN_OBSERVATION,1
Apis mellifera,0.256606,34.883988,Kenya,2024-07-30T16:40:11,HUMAN_OBSERVATION,1
Apis mellifera,-1.266978,36.821042,Kenya,2024-08-17T12:18:41,HUMAN_OBSERVATION,1
Apis mellifera,-1.223579,36.896538,Kenya,2024-08-08T13:53,HUMAN_OBSERVATION,1
Apis mellifera,-0.788315,36.422054,Kenya,2024-08-11T15:25,HUMAN_OBSERVATION,1
Apis mellifera,-1.619337,35.299959,Kenya,2024-08-23T18:30:24,HUMAN_OBSERVATION,1
Apis mellifera,-1.300888,36.791313,Kenya,2024-09-17T11:43:41,HUMAN_OBSERVATION,1
Apis mellifera,-1.34126,36.766792,Kenya,2024-09-23T16:18:18,HUMAN_OBSERVATION,1
Apis mellifera,-1.250717,36.663151,Kenya,2024-09-21T09:59:01,HUMAN_OBSERVATION,1
Apis mellifera,-1.393714,36.745753,Kenya,2024-09-20T14:20:52,HUMAN_OBSERVATION,1
Apis mellifera,0.257555,37.547653,Kenya,2024-09-24T07:43:36,HUMAN_OBSERVATION,1
Apis mellifera,-1.392459,36.747774,Kenya,2024-09-20T14:20:23,HUMAN_OBSERVATION,1
Apis mellifera,0.256847,37.54798,Kenya,2024-09-26T15:48:36,HUMAN_OBSERVATION,1
Apis mellifera,-1.437135,36.932253,Kenya,2024-09-22T11:35:18,HUMAN_OBSERVATION,1
Apis mellifera,-1.411914,36.889186,Kenya,2024-09-22T12:16:28,HUMAN_OBSERVATION,1
Apis mellifera,-1.24409,36.819099,Kenya,2024-10-05T11:10,HUMAN_OBSERVATION,1
Apis mellifera,-1.223577,36.90006,Kenya,2024-10-18T07:48:26,HUMAN_OBSERVATION,1
Apis mellifera,-2.813935,37.41114,Kenya,2024-10-20T09:07,HUMAN_OBSERVATION,1
Apis mellifera,-1.198172,36.855134,Kenya,2024-11-02T11:10,HUMAN_OBSERVATION,1
Apis mellifera,-1.29714,36.807762,Kenya,2024-11-15T14:59:31,HUMAN_OBSERVATION,1
Apis mellifera,-1.242696,36.823943,Kenya,2024-12-14T10:07,HUMAN_OBSERVATION,1
Apis mellifera,-1.267138,36.82109,Kenya,2024-12-15T11:28,HUMAN_OBSERVATION,1
Apis mellifera,-1.223527,36.896695,Kenya,2024-12-19T13:25,HUMAN_OBSERVATION,1
Apis mellifera,0.079355,34.487107,Kenya,2024-12-14T10:43:34,HUMAN_OBSERVATION,1
Apis mellifera,-1.18156,36.953033,Kenya,2024-12-02T10:34:53,HUMAN_OBSERVATION,1
Apis mellifera,-0.791694,36.417091,Kenya,2024-12-19T10:04,HUMAN_OBSERVATION,1
Apis mellifera,-0.10372,37.251282,Kenya,2023-01-07T17:05,HUMAN_OBSERVATION,1
Apis mellifera,-4.35609,39.557552,Kenya,2023-01-06,HUMAN_OBSERVATION,1
Apis mellifera,-1.26478,36.786823,Kenya,2023-03-08T01:06,HUMAN_OBSERVATION,1
Apis mellifera,-1.224201,36.896652,Kenya,2023-03-09T17:45,HUMAN_OBSERVATION,1
Apis mellifera,-1.267143,36.821002,Kenya,2023-03-11T08:33,HUMAN_OBSERVATION,1
Apis mellifera,-2.79875,37.530262,Kenya,2023-03-23T10:17:52,HUMAN_OBSERVATION,1
Apis mellifera,-0.508936,37.454077,Kenya,2023-03-27T18:01,HUMAN_OBSERVATION,1
Apis mellifera,-0.51301,37.45506,Kenya,2023-03-14T11:26,HUMAN_OBSERVATION,1
Apis mellifera,-0.51301,37.45506,Kenya,2023-03-14T11:52,HUMAN_OBSERVATION,1
Apis mellifera,-0.508936,37.454077,Kenya,2023-03-27T18:01,HUMAN_OBSERVATION,1
Apis mellifera,-1.224507,36.896679,Kenya,2023-04-25T17:47,HUMAN_OBSERVATION,1
Apis mellifera,-1.239567,36.818961,Kenya,2023-04-23T13:30,HUMAN_OBSERVATION,1
Apis mellifera,-0.47433,37.71759,Kenya,2023-04-12T09:48,HUMAN_OBSERVATION,1
Apis mellifera,-0.47433,37.71759,Kenya,2023-04-12T09:38,HUMAN_OBSERVATION,1
Apis mellifera,-0.47433,37.71759,Kenya,2023-04-12T09:38,HUMAN_OBSERVATION,1
Apis mellifera,-0.347803,37.482394,Kenya,2023-04-27T11:34,HUMAN_OBSERVATION,1
Apis mellifera,-0.347803,37.482394,Kenya,2023-04-21T11:23,HUMAN_OBSERVATION,1
Apis mellifera,-0.471909,37.913347,Kenya,2023-04-24T10:04,HUMAN_OBSERVATION,1
Apis mellifera,-0.47433,37.71759,Kenya,2023-04-20T10:07,HUMAN_OBSERVATION,1
Apis mellifera,-0.347803,37.482394,Kenya,2023-04-21T11:13,HUMAN_OBSERVATION,1
Apis mellifera,-0.471909,37.913347,Kenya,2023-04-24T09:52,HUMAN_OBSERVATION,1
Apis mellifera,-0.47433,37.71759,Kenya,2023-04-12T09:57,HUMAN_OBSERVATION,1
Apis mellifera,-0.471909,37.913347,Kenya,2023-04-24T10:04,HUMAN_OBSERVATION,1
Apis mellifera,-0.47433,37.71759,Kenya,2023-04-20T10:07,HUMAN_OBSERVATION,1
Apis mellifera,-0.471909,37.913347,Kenya,2023-04-24T10:04,HUMAN_OBSERVATION,1
Apis mellifera,-0.347803,37.482394,Kenya,2023-04-21T11:44,HUMAN_OBSERVATION,1
Apis mellifera,-0.47433,37.71759,Kenya,2023-04-20T10:07,HUMAN_OBSERVATION,1
Apis mellifera,-0.471909,37.913347,Kenya,2023-04-24T10:04,HUMAN_OBSERVATION,1
Apis mellifera,-1.263189,36.829211,Kenya,2023-05-08T04:07,HUMAN_OBSERVATION,1
